Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
1137,STA. MARIA,2023,HYUNDAI STARGAZER 1.5 GL IVT AT,,K2Y634,WHITE,"4,467","947,000.00"
1138,ENTRATA,2023,HYUNDAI STARGAZER 1.5 GLS IVT,NIN7891,K2Y809,WHITE,"34,784","924,300.00"
1139,MARCELO GREEN,2023,HYUNDAI STARGAZER 1.5 GLS IVT,,K2X624,WHITE,"14,269","984,200.00"
1140,ENTRATA,2023,HYUNDAI STARGAZER 1.5 GLS IVT AT,NIO6282,K2X829,BLACK,"8,968","836,800.00"
1141,THE SIGNATURE,2023,HYUNDAI STARGAZER 1.5 GLS IVT AT,,K2V753,BLACK,"3,821","940,500.00"
1142,AXIS TOWER,2017,HYUNDAI TUCSON 2.0 CRDI GL 6AT 2WD (DSL),NAV5897,MSO522,SILVER,"154,219","564,300.00"
1143,STA. MARIA,2016,HYUNDAI TUCSON 2.0 GL 2WD AT,,MQ6943,WHITE,"76,278","399,500.00"
1144,ENTRATA,2016,HYUNDAI TUCSON 2.0 GL 6AT 2WD,NCX6343,,WHITE,"73,846","309,400.00"
1145,AXIS TOWER,2017,HYUNDAI TUCSON 2.0GL 6AT 2WD,NCO4847,MR7916,PHANTOM BLACK,"104,176","467,500.00"
1146,MARCELO GREEN,2023,ISUZU MU-X 3.0L 4X2 LS-A A/T,NIG8745,D3D553,SATIN PEARL WHITE,"21,728","1,465,400.00"
1147,SANFORD,2018,KIA K2500 4X2 HSPUR W/ DUAL AC DSL,CAP3975,EH6970,CLEAR WHITE,"168,305","255,000.00"
1148,ENTRATA,2020,KIA K2500 4X2 KARGA BODY W/ DUAL AIRCON MT,NGY5687,X0F892,WHITE,"29,896","619,200.00"
1149,MARCELO GREEN,2019,KIA K2500 KARGA PANORAMIC W/ DAC,NDM2958,X0C051,WHITE,"114,942","447,000.00"
1150,AXIS TOWER,2019,KIA K2500 SINGLE CAB 4X2 KARGA BODY,NGD5383,XOE918,WHITE,"120,290","549,000.00"
1151,PROMENADE,2019,KIA K2500 SINGLE CAB 4X2 KARGA BODY,NGD1079,X0D663,WHITE,"129,506","498,100.00"
1152,AXIS TOWER,2023,KIA NEW SOLUTO 1.4 LX A/T,NIK3957,,WHITE,"14,322","466,650.00"
1153,ENTRATA,2015,KIA PICANTO 1.2 EX A/T,ABS4550,EF3928,ALICE BLUE,"65,245","217,000.00"
1154,ENTRATA,2016,KIA PICANTO 1.2EX AT,DDL9791,EF7811,ALICE BLUE,"139,205","196,800.00"
1155,STA. MARIA,2015,KIA RIO 1.4 EX A/T 5DR HB,ABT2425,EF2819,BROWN,"88,773","287,000.00"
1156,ENTRATA,2022,KIA SOLUTO 1.4 EX AT,DAG7478,X0Q525,RED,"22,988","441,600.00"
1157,THE SIGNATURE,2022,KIA SOLUTO 1.4 EX AT,DAS6204,X0T147,MERCATO RED,986,"450,450.00"
